pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
295.535		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
321.692		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
339.745		910.0	795.0	1	961.0	870.0	1	936	832	2.419	1	2.3652	1
356.635		881.0	731.0	1	944.0	845.0	1	912	788	2.4058	1	2.4243	1
372.834		878.0	563.0	1	1016.0	686.0	1	947	624	2.9051	1	2.9321	1
390.291		881.0	552.0	1	1012.0	700.0	1	946	626	2.8905	1	2.9739	1
406.765		884.0	564.0	1	1018.0	686.0	1	951	625	2.9013	1	2.9491	1
422.932		882.0	544.0	1	1019.0	683.0	1	950	613	2.8935	1	2.9585	1
440.502		871.0	560.0	1	1024.0	694.0	1	948	627	2.9347	1	2.996	1
456.93		872.0	547.0	1	1014.0	697.0	1	943	622	2.9269	1	3.0208	1
472.922		871.0	545.0	1	1029.0	687.0	1	950	616	2.9304	1	2.9913	1
490.343		881.0	549.0	1	1031.0	692.0	1	956	620	2.9732	1	2.9989	1
507.111		879.0	546.0	1	1032.0	690.0	1	956	618	2.9592	1	3.0013	1
522.91		876.0	573.0	1	1029.0	683.0	1	952	628	3.0004	1	2.9969	1
540.232		894.0	575.0	1	1066.0	673.0	1	980	624	2.9918	1	3.0153	1
557.106		1027.0	578.0	1	1210.0	634.0	1	1118	606	3.0529	1	2.9487	1
572.915		1059.0	569.0	1	1224.0	633.0	1	1142	601	3.0474	1	2.9752	1
590.307		1059.0	565.0	1	1224.0	645.0	1	1142	605	3.0631	1	2.9841	1
607.475		1058.0	570.0	1	1242.0	641.0	1	1150	605	3.0555	1	2.9635	1
622.864		1050.0	551.0	1	1240.0	633.0	1	1145	592	3.0334	1	2.9782	1
640.294		1054.0	557.0	1	1230.0	638.0	1	1142	597	3.0459	1	2.996	1
657.354		1049.0	558.0	1	1237.0	638.0	1	1143	598	3.0404	1	2.9833	1
672.629		1049.0	543.0	1	1231.0	644.0	1	1140	593	3.0204	1	2.9926	1
690.277		1046.0	560.0	1	1239.0	651.0	1	1142	605	3.0376	1	3.0021	1
707.495		1054.0	556.0	1	1242.0	634.0	1	1148	595	3.0715	1	2.9879	1
722.489		1054.0	544.0	1	1235.0	648.0	1	1144	596	3.0391	1	3.008	1
740.307		1058.0	562.0	1	1232.0	657.0	1	1145	609	3.0824	1	3.0335	1
757.614		1048.0	553.0	1	1238.0	652.0	1	1143	602	3.0742	1	3.0285	1
772.441		1043.0	551.0	1	1241.0	647.0	1	1142	599	3.0699	1	3.0366	1
790.401		1041.0	567.0	1	1240.0	641.0	1	1140	604	3.0752	1	3.0304	1
807.723		931.0	549.0	1	1113.0	669.0	1	1022	609	3.0621	1	3.1139	1
822.478		834.0	534.0	1	968.0	694.0	1	901	614	3.0159	1	3.1435	1
840.277		828.0	550.0	1	963.0	682.0	1	896	616	3.0592	1	3.0972	1
857.514		811.0	526.0	1	963.0	685.0	1	887	605	3.0241	1	3.1196	1
872.317		822.0	526.0	1	970.0	675.0	1	896	600	3.0	1	3.1098	1
890.478		827.0	535.0	1	973.0	681.0	1	900	608	3.0211	1	3.1143	1
907.406		829.0	538.0	1	972.0	675.0	1	900	606	3.0373	1	3.1109	1
922.257		832.0	533.0	1	980.0	670.0	1	906	601	3.045	1	3.1035	1
940.398		824.0	521.0	1	976.0	669.0	1	900	595	3.0229	1	3.1143	1
957.339		833.0	532.0	1	975.0	669.0	1	904	600	3.0458	1	3.1189	1
972.237		825.0	539.0	1	976.0	664.0	1	900	601	3.0468	1	3.1118	1
990.303		821.0	527.0	1	991.0	672.0	1	906	599	3.0321	1	3.1028	1
1007.925		916.0	532.0	1	1082.0	662.0	1	999	597	3.0559	1	3.0987	1
1022.157		928.0	543.0	1	1111.0	648.0	1	1020	595	3.0824	1	3.0783	1
1040.492		941.0	559.0	1	1118.0	650.0	1	1030	604	3.0803	1	3.0686	1
1057.933		946.0	571.0	1	1124.0	636.0	1	1035	603	3.0926	1	3.0335	1
1072.349		954.0	569.0	1	1123.0	628.0	1	1038	598	3.09	1	3.0318	1
1090.213		942.0	538.0	1	1124.0	620.0	1	1033	579	3.0419	1	3.008	1
1107.131		942.0	551.0	1	1131.0	614.0	1	1036	582	3.0351	1	3.0158	1
1121.952		950.0	558.0	1	1138.0	620.0	1	1044	589	3.0712	1	3.0198	1
1140.91		943.0	573.0	1	1135.0	616.0	1	1039	594	3.087	1	3.0041	1
1157.267		937.0	568.0	1	1139.0	624.0	1	1038	596	3.0827	1	3.0027	1
1171.901		945.0	561.0	1	1136.0	622.0	1	1040	591	3.0894	1	3.0081	1
1190.319		949.0	565.0	1	1142.0	637.0	1	1046	601	3.1232	1	3.0131	1
1207.921		947.0	569.0	1	1142.0	633.0	1	1044	601	3.1318	1	3.0005	1
1221.655		926.0	560.0	1	1118.0	628.0	1	1022	594	3.0978	1	3.0061	1
1239.917		836.0	541.0	1	1009.0	632.0	1	922	586	3.0561	1	3.0014	1
1257.584		791.0	542.0	1	932.0	655.0	1	862	598	3.0359	1	3.0285	1
1271.755		797.0	563.0	1	936.0	643.0	1	866	603	3.1013	1	3.0115	1
1291.261		794.0	544.0	1	938.0	650.0	1	866	597	3.0854	1	3.0586	1
1307.93		808.0	546.0	1	940.0	653.0	1	874	599	3.1132	1	3.0689	1
1321.75		809.0	551.0	1	944.0	644.0	1	876	597	3.1425	1	3.0787	1
1340.304		805.0	552.0	1	940.0	634.0	1	872	593	3.1313	1	3.0547	1
1357.903		804.0	558.0	1	938.0	645.0	1	871	601	3.1474	1	3.0803	1
1372.914		812.0	553.0	1	942.0	637.0	1	877	595	3.149	1	3.0798	1
1390.329		803.0	549.0	1	953.0	645.0	1	878	597	3.1376	1	3.1029	1
1407.908		802.0	537.0	1	944.0	628.0	1	873	582	3.1213	1	3.0942	1
1421.358		795.0	535.0	1	942.0	630.0	1	868	582	3.124	1	3.0806	1
1439.797		807.0	541.0	1	938.0	633.0	1	872	587	3.1274	1	3.0987	1
1457.268		816.0	545.0	1	944.0	640.0	1	880	592	3.1514	1	3.108	1
1472.27		816.0	540.0	1	947.0	633.0	1	882	586	3.1628	1	3.1073	1
1489.652		812.0	541.0	1	941.0	643.0	1	876	592	3.1664	1	3.1444	1
1506.522		805.0	536.0	1	946.0	650.0	1	876	593	3.1597	1	3.1435	1
1521.514		822.0	542.0	1	952.0	647.0	1	887	594	3.1833	1	3.1443	1
1540.32		815.0	544.0	1	952.0	659.0	1	884	601	3.1857	1	3.1639	1
1556.941		804.0	534.0	1	947.0	650.0	1	876	592	3.1899	1	3.1784	1
1571.929		815.0	521.0	1	947.0	643.0	1	881	582	3.1781	1	3.177	1
1589.554		809.0	531.0	1	958.0	633.0	1	884	582	3.1881	1	3.1749	1
1607.299		809.0	541.0	1	959.0	618.0	1	884	579	3.194	1	3.17	1
1621.588		816.0	534.0	1	949.0	617.0	1	882	575	3.1956	1	3.178	1
1639.875		825.0	538.0	1	947.0	639.0	1	886	588	3.2258	1	3.2244	1
1656.909		817.0	530.0	1	949.0	641.0	1	883	585	3.2272	1	3.2425	1
1671.929		811.0	531.0	1	953.0	633.0	1	882	582	3.2249	1	3.2418	1
1689.914		809.0	535.0	1	960.0	642.0	1	884	588	3.2421	1	3.2436	1
1706.731		813.0	540.0	1	953.0	634.0	1	883	587	3.2401	1	3.2266	1
1721.084		821.0	549.0	1	947.0	633.0	1	884	591	3.2648	1	3.2447	1
1739.51		816.0	546.0	1	945.0	634.0	1	880	590	3.2672	1	3.2506	1
1756.931		814.0	522.0	1	943.0	632.0	1	878	577	3.2538	1	3.2458	1
1771.962		833.0	530.0	1	954.0	632.0	1	894	581	3.2963	1	3.2462	1
1789.422		832.0	545.0	1	958.0	627.0	1	895	586	3.3137	1	3.2418	1
1806.927		885.0	543.0	1	1022.0	607.0	1	954	575	3.3142	1	3.2139	1
1821.983		938.0	547.0	1	1049.0	606.0	1	994	576	3.3395	1	3.2275	1
1839.446		928.0	536.0	1	1053.0	618.0	1	990	577	3.2819	1	3.2367	1
1855.959		924.0	526.0	1	1069.0	626.0	1	996	576	3.2912	1	3.2384	1
1870.952		930.0	539.0	1	1070.0	616.0	1	1000	577	3.3295	1	3.2285	1
1889.034		940.0	546.0	1	1076.0	610.0	1	1008	578	3.3189	1	3.2162	1
1906.281		928.0	524.0	1	1088.0	612.0	1	1008	568	3.2858	1	3.2088	1
1921.508		935.0	545.0	1	1080.0	622.0	1	1008	583	3.3331	1	3.2349	1
1938.923		938.0	538.0	1	1066.0	608.0	1	1002	573	3.3398	1	3.2368	1
1956.317		939.0	541.0	1	1070.0	621.0	1	1004	581	3.3258	1	3.2555	1
1971.472		941.0	539.0	1	1065.0	618.0	1	1003	578	3.323	1	3.2472	1
1990.395		932.0	540.0	1	1070.0	611.0	1	1001	575	3.3104	1	3.2173	1
2007.949		927.0	532.0	1	1070.0	613.0	1	998	572	3.304	1	3.213	1
2020.421		926.0	525.0	1	1071.0	603.0	1	998	564	3.3224	1	3.2089	1
2038.63		927.0	518.0	1	1073.0	608.0	1	1000	563	3.3162	1	3.2115	1
2055.546		930.0	532.0	1	1072.0	605.0	1	1001	568	3.3306	1	3.2117	1
2070.467		922.0	528.0	1	1086.0	587.0	1	1004	557	3.2888	1	3.2071	1
2088.71		956.0	545.0	1	1082.0	600.0	1	1019	572	3.3586	1	3.2173	1
2105.605		953.0	522.0	1	1089.0	597.0	1	1021	559	3.3447	1	3.2233	1
2121.026		948.0	446.0	1	1090.0	474.0	1	1019	460	3.1456	1	3.2376	1
2138.512		-1	-1	0	1136.0	410.0	1	1136.0	410.0	-1	0	3.1035	1
2155.396		1011.0	297.0	1	1153.0	400.0	1	1082	348	3.257	1	3.1676	1
2171.574		1012.0	294.0	1	1066.0	370.0	1	1039	332	3.4214	1	3.2616	1
2188.726		928.0	243.0	1	987.0	362.0	1	958	302	3.2996	1	3.3053	1
