pygaze initiation report start
display resolution: 1920x1080
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
295.429		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
307.165		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
326.261		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
347.331		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
357.079		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
375.921		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
397.56		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
407.0		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
426.789		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
447.529		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
456.936		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
477.443		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
498.265		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
506.911		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
527.796		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
548.553		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
557.135		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
577.392		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
598.481		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
607.16		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
627.26		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
648.289		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
656.836		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
677.238		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
698.437		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
707.01		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
727.37		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
748.112		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
756.675		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
777.013		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
798.223		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
806.815		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
827.306		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
848.304		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
856.754		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
877.423		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
