pygaze initiation report start
display resolution: 3840x2160
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
TimeStamp	Event	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight
311.257		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
336.453		-1	-1	0	-1	-1	0	-1.0	-1.0	-1	0	-1	0
354.825		808.0	2122.0	1	802.0	2199.0	1	805	2160	2.7069	1	2.8556	1
371.703		800.0	2134.0	1	713.0	2184.0	1	756	2159	2.6123	1	2.8038	1
387.577		662.0	2121.0	1	600.0	2174.0	1	631	2147	2.8039	1	2.9657	1
405.2		656.0	2111.0	1	585.0	2173.0	1	620	2142	2.7885	1	2.9482	1
421.997		651.0	2109.0	1	587.0	2167.0	1	619	2138	2.7761	1	2.9453	1
437.557		655.0	2107.0	1	589.0	2165.0	1	622	2136	2.7786	1	2.9473	1
455.114		671.0	2106.0	1	611.0	2176.0	1	641	2141	2.7782	1	2.974	1
471.752		825.0	2122.0	1	792.0	2181.0	1	808	2151	2.7847	1	2.9986	1
487.389		935.0	2121.0	1	888.0	2202.0	1	912	2161	2.7747	1	2.9618	1
504.96		951.0	2170.0	1	876.0	2198.0	1	914	2184	2.8505	1	2.9576	1
521.587		951.0	2178.0	1	888.0	2189.0	1	920	2183	2.8396	1	2.9594	1
537.722		930.0	2126.0	1	888.0	2190.0	1	909	2158	2.7552	1	2.9738	1
554.881		937.0	2121.0	1	894.0	2192.0	1	916	2156	2.7517	1	2.9596	1
571.224		925.0	2112.0	1	916.0	2193.0	1	920	2152	2.7666	1	2.9629	1
587.464		928.0	2122.0	1	895.0	2177.0	1	912	2149	2.7541	1	2.9391	1
604.83		959.0	2176.0	1	901.0	2180.0	1	930	2178	2.8507	1	2.9469	1
621.18		969.0	2178.0	1	906.0	2187.0	1	938	2182	2.8489	1	2.9649	1
637.588		969.0	2165.0	1	897.0	2186.0	1	933	2175	2.8269	1	2.9402	1
654.819		953.0	2142.0	1	904.0	2184.0	1	928	2163	2.8092	1	2.951	1
671.168		1069.0	2195.0	1	1039.0	2243.0	1	1054	2219	2.7594	1	2.8715	1
687.205		1171.0	2203.0	1	1112.0	2252.0	1	1142	2227	2.7065	1	2.7483	1
705.164		1172.0	2210.0	1	1128.0	2299.0	1	1150	2254	2.7566	1	2.8884	1
721.447		1186.0	2214.0	1	1149.0	2306.0	1	1168	2260	2.7551	1installers/tobii/recordings	2.8918	1
736.761		1194.0	2218.0	1	1126.0	2301.0	1	1160	2259	2.7341	1	2.8751	1
755.101		1196.0	2226.0	1	1104.0	2246.0	1	1150	2236	2.7686	1	2.7281	1
771.627		1184.0	2234.0	1	1113.0	2260.0	1	1148	2247	2.7632	1	2.736	1
786.712		1185.0	2276.0	1	1136.0	2319.0	1	1160	2297	2.8125	1	2.8796	1
804.793		1192.0	2234.0	1	-1	-1	0	1192.0	2234.0	2.745	1	-1	0
821.208		1194.0	2238.0	1	1115.0	2265.0	1	1154	2251	2.7571	1	2.7402	1
836.744		1184.0	2251.0	1	1121.0	2283.0	1	1152	2267	2.7914	1	2.8424	1
855.276		1196.0	2210.0	1	1130.0	2294.0	1	1163	2252	2.7333	1	2.8769	1
871.34		1196.0	2216.0	1	1142.0	2293.0	1	1169	2254	2.7119	1	2.8851	1
886.658		1401.0	2206.0	1	1319.0	2329.0	1	1360	2267	2.7589	1	2.9362	1
905.357		1690.0	2203.0	1	1696.0	2221.0	1	1693	2212	2.7327	1	2.7345	1
921.393		2126.0	2180.0	1	2045.0	2169.0	1	2086	2174	2.6938	1	2.6749	1
936.394		2133.0	2171.0	1	2048.0	2169.0	1	2090	2170	2.7347	1	2.6492	1
954.914		2138.0	2177.0	1	2067.0	2180.0	1	2102	2178	2.7519	1	2.6796	1
971.315		2121.0	2192.0	1	2072.0	2180.0	1	2096	2186	2.7672	1	2.6836	1
986.263		2145.0	2180.0	1	2073.0	2168.0	1	2109	2174	2.7441	1	2.6526	1
1004.713		2138.0	2174.0	1	2051.0	2174.0	1	2094	2174	2.7219	1	2.6472	1
1021.395		2143.0	2189.0	1	2055.0	2198.0	1	2099	2193	2.7417	1	2.6626	1
1036.109		2127.0	2190.0	1	2054.0	2222.0	1	2090	2206	2.7581	1	2.6911	1
1054.367		2138.0	2179.0	1	2065.0	2237.0	1	2102	2208	2.7534	1	2.7314	1
1071.441		2195.0	2226.0	1	2128.0	2194.0	1	2162	2210	2.8289	1	2.6826	1
1085.971		2552.0	2253.0	1	2493.0	2225.0	1	2522	2239	2.8323	1	2.7535	1
1104.213		2682.0	2215.0	1	2640.0	2250.0	1	2661	2232	2.7854	1	2.805	1
1121.857		2689.0	2215.0	1	2658.0	2274.0	1	2674	2244	2.8066	1	2.8197	1
1136.091		2690.0	2213.0	1	2644.0	2266.0	1	2667	2239	2.8091	1	2.8209	1
1153.876		2685.0	2201.0	1	2643.0	2220.0	1	2664	2210	2.7988	1	2.7239	1
1171.871		2687.0	2206.0	1	2627.0	2224.0	1	2657	2215	2.8098	1	2.7415	1
1185.914		2701.0	2205.0	1	2615.0	2235.0	1	2658	2220	2.823	1	2.7574	1
1203.852		2701.0	2211.0	1	2620.0	2243.0	1	2660	2227	2.808installers/tobii/recordings2	1	2.7614	1
1222.071		2703.0	2187.0	1	2621.0	2236.0	1	2662	2211	2.7719	1	2.7601	1
1235.81		2702.0	2197.0	1	2619.0	2233.0	1	2660	2215	2.7671	1	2.7726	1
1254.114		2692.0	2200.0	1	2628.0	2269.0	1	2660	2234	2.7975	1	2.8347	1
1272.067		2700.0	2212.0	1	2642.0	2258.0	1	2671	2235	2.8089	1	2.841	1
1285.751		2705.0	2210.0	1	2642.0	2258.0	1	2674	2234	2.7984	1	2.8445	1
1304.018		2705.0	2204.0	1	2641.0	2272.0	1	2673	2238	2.8209	1	2.8802	1
1321.974		2713.0	2205.0	1	2644.0	2243.0	1	2678	2224	2.8128	1	2.8337	1
1335.624		2728.0	2217.0	1	2639.0	2247.0	1	2684	2232	2.8096	1	2.8435	1
1353.731		2749.0	2199.0	1	2645.0	2257.0	1	2697	2228	2.8057	1	2.852	1
1371.932		2763.0	2210.0	1	2695.0	2235.0	1	2729	2222	2.8088	1	2.7985	1
1385.623		2759.0	2196.0	1	2691.0	2218.0	1	2725	2207	2.8046	1	2.8072	1
1403.67		2755.0	2202.0	1	2677.0	2263.0	1	2716	2232	2.8354	1	2.864	1
1422.057		2730.0	2221.0	1	2649.0	2293.0	1	2690	2257	2.8674	1	2.8926	1
1435.587		2747.0	2231.0	1	2684.0	2301.0	1	2716	2266	2.8645	1	2.9153	1
1453.652		2746.0	2237.0	1	2686.0	2274.0	1	2716	2255	2.898	1	2.9133	1
1471.802		2766.0	2207.0	1	2697.0	2259.0	1	2732	2233	2.8348	1	2.8958	1
1485.408		2761.0	2196.0	1	2691.0	2266.0	1	2726	2231	2.8402	1	2.9	1
1503.494		2764.0	2190.0	1	2671.0	2262.0	1	2718	2226	2.8364	1	2.9091	1
